NAME OF ISSUER,TITLE OF CLASS,CUSIP,VALUE (x$1000),SHRS OR PRN AMT,SH/PRN,PUT/CALL,INVESTMENT DISCRETION,OTHER MANAGER,VOTING AUTHORITY SOLE,VOTING AUTHORITY SHARED,VOTING AUTHORITY NONE,Filing Date
DISNEY,COMMON STOCK,254687106,293,4635,SH,,OTR,,4635,0,0,0001291422-13-000004
DRIL-QUIP INC,COMMON STOCK,262037104,5391,59705,SH,,SOLE,,57870,0,0,0001291422-13-000004
DRIL-QUIP INC,COMMON STOCK,262037104,5391,59705,SH,,SOLE,,0,0,1835,0001291422-13-000004
DRIL-QUIP INC,COMMON STOCK,262037104,162,1790,SH,,OTR,,1790,0,0,0001291422-13-000004
E.I. DUPONT DE NEMOURS,COMMON STOCK,263534109,1650,31436,SH,,SOLE,,31436,0,0,0001291422-13-000004
E.I. DUPONT DE NEMOURS,COMMON STOCK,263534109,137,2600,SH,,OTR,,2600,0,0,0001291422-13-000004
EBAY INC.,COMMON STOCK,278642103,6008,116165,SH,,SOLE,,111440,0,0,0001291422-13-000004
EBAY INC.,COMMON STOCK,278642103,6008,116165,SH,,SOLE,,0,0,4725,0001291422-13-000004
EBAY INC.,COMMON STOCK,278642103,198,3825,SH,,OTR,,3825,0,0,0001291422-13-000004
EII INTERNATIONAL PROPERTY FUND,MUTUAL FUNDS -,26852M105,1523,81348,SH,,SOLE,,81348,0,0,0001291422-13-000004
ELK GROVE PK DIST,MUNICIPAL OBLIG,287317GY1,541,525000,PRN,,SOLE,,425000,0,0,0001291422-13-000004
ELK GROVE PK DIST,MUNICIPAL OBLIG,287317GY1,541,525000,PRN,,SOLE,,0,0,100000,0001291422-13-000004
EMERSON,COMMON STOCK,291011104,2067,37891,SH,,SOLE,,35431,0,0,0001291422-13-000004
EMERSON,COMMON STOCK,291011104,2067,37891,SH,,SOLE,,0,0,2460,0001291422-13-000004
EMERSON,COMMON STOCK,291011104,20,370,SH,,DFND,,370,0,0,0001291422-13-000004
ENI SPA,COMMON STOCK,26874R108,1655,40321,SH,,SOLE,,37563,0,0,0001291422-13-000004
ENI SPA,COMMON STOCK,26874R108,1655,40321,SH,,SOLE,,0,0,2758,0001291422-13-000004
ENI SPA,COMMON STOCK,26874R108,17,409,SH,,DFND,,409,0,0,0001291422-13-000004
ENTERGY CORPORATION,COMMON STOCK,29364G103,369,5300,SH,,SOLE,,5000,0,0,0001291422-13-000004
ENTERGY CORPORATION,COMMON STOCK,29364G103,369,5300,SH,,SOLE,,0,0,300,0001291422-13-000004
EXXON MOBIL CORP COM,COMMON STOCK,30231G102,11391,126081,SH,,SOLE,,123701,0,0,0001291422-13-000004
EXXON MOBIL CORP COM,COMMON STOCK,30231G102,11391,126081,SH,,SOLE,,0,0,2380,0001291422-13-000004
EXXON MOBIL CORP COM,COMMON STOCK,30231G102,635,7023,SH,,OTR,,7023,0,0,0001291422-13-000004
FEDERATED LIFE INSURANCE CO,INSURANCE POLIC,IP0000220,291,1,PRN,,SOLE,,1,0,0,0001291422-13-000004
FEDERATED MID CAP INDEX FUND 153,MUTUAL FUNDS -,31420E882,16571,674444,SH,,SOLE,,657385,0,0,0001291422-13-000004
FEDERATED MID CAP INDEX FUND 153,MUTUAL FUNDS -,31420E882,16571,674444,SH,,SOLE,,0,0,17059,0001291422-13-000004
FEDERATED MID CAP INDEX FUND 153,MUTUAL FUNDS -,31420E882,2143,87207,SH,,OTR,,87207,0,0,0001291422-13-000004
FIRST AMERICAN BANK CORPORATION,COMMON STOCK,31847G106,608,6018,SH,,SOLE,,5398,0,0,0001291422-13-000004
FIRST AMERICAN BANK CORPORATION,COMMON STOCK,31847G106,608,6018,SH,,SOLE,,0,0,620,0001291422-13-000004
FIRST AMERICAN BANK CORPORATION,COMMON STOCK,31847G106,618,6118,SH,,OTR,,6118,0,0,0001291422-13-000004
FIRST AMERICAN CONSERVATIVE,COMMON TRUST FU,CIT015906,3370,288243,PRN,,SOLE,,288243,0,0,0001291422-13-000004
FIRST AMERICAN CONSERVATIVE,COMMON TRUST FU,CIT015906,4,359,PRN,,DFND,,359,0,0,0001291422-13-000004
FLORIDA ST,MUNICIPAL OBLIG,34074GDG6,556,575000,PRN,,SOLE,,575000,0,0,0001291422-13-000004
FRANKLIN STREET PROPERTIES CORP,COMMON STOCK,35471R106,324,24571,SH,,SOLE,,24571,0,0,0001291422-13-000004
FREDDIE MAC,COMMON STOCK,313400301,14,10600,SH,,SOLE,,10600,0,0,0001291422-13-000004
GARMIN LTD,COMMON STOCK,H2906T109,1417,39173,SH,,SOLE,,36498,0,0,0001291422-13-000004
GARMIN LTD,COMMON STOCK,H2906T109,1417,39173,SH,,SOLE,,0,0,2675,0001291422-13-000004
GARMIN LTD,COMMON STOCK,H2906T109,14,390,SH,,DFND,,390,0,0,0001291422-13-000004
GENERAL ELEC CO COM,COMMON STOCK,369604103,6938,299176,SH,,SOLE,,289576,0,0,0001291422-13-000004
GENERAL ELEC CO COM,COMMON STOCK,369604103,6938,299176,SH,,SOLE,,0,0,9600,0001291422-13-000004
GENERAL ELEC CO COM,COMMON STOCK,369604103,267,11493,SH,,OTR,,11493,0,0,0001291422-13-000004
GENERAL ELECTRIC CAPITAL CORP,CORPORATE BONDS,36962G5N0,1034,1000000,PRN,,SOLE,,1000000,0,0,0001291422-13-000004
GENERAL ELECTRIC CAPITAL CORP,CORPORATE BONDS,36962G6R0,497,500000,PRN,,SOLE,,500000,0,0,0001291422-13-000004
GENUINE PARTS COMPANY,COMMON STOCK,372460105,2897,37105,SH,,SOLE,,35055,0,0,0001291422-13-000004
GENUINE PARTS COMPANY,COMMON STOCK,372460105,2897,37105,SH,,SOLE,,0,0,2050,0001291422-13-000004
GENUINE PARTS COMPANY,COMMON STOCK,372460105,24,310,SH,,DFND,,310,0,0,0001291422-13-000004
"GILEAD SCIENCES, INC.",COMMON STOCK,375558103,12289,239682,SH,,SOLE,,231102,0,0,0001291422-13-000004
"GILEAD SCIENCES, INC.",COMMON STOCK,375558103,12289,239682,SH,,SOLE,,0,0,8580,0001291422-13-000004
"GILEAD SCIENCES, INC.",COMMON STOCK,375558103,430,8391,SH,,OTR,,8391,0,0,0001291422-13-000004
GNC HOLDINGS INC,COMMON STOCK,36191G107,5538,125269,SH,,SOLE,,121494,0,0,0001291422-13-000004
GNC HOLDINGS INC,COMMON STOCK,36191G107,5538,125269,SH,,SOLE,,0,0,3775,0001291422-13-000004
GNC HOLDINGS INC,COMMON STOCK,36191G107,227,5125,SH,,OTR,,5125,0,0,0001291422-13-000004
GOLDMAN SACHS,CORPORATE BONDS,38141EA33,260,250000,PRN,,SOLE,,250000,0,0,0001291422-13-000004
GOLDMAN SACHS GROUP INC,COMMON STOCK,38141G104,8780,58049,SH,,SOLE,,56299,0,0,0001291422-13-000004
GOLDMAN SACHS GROUP INC,COMMON STOCK,38141G104,8780,58049,SH,,SOLE,,0,0,1750,0001291422-13-000004
GOLDMAN SACHS GROUP INC,COMMON STOCK,38141G104,304,2013,SH,,OTR,,2013,0,0,0001291422-13-000004
GOLDMAN SACHS GROUP INC,CORPORATE BONDS,38141GFG4,559,500000,PRN,,SOLE,,500000,0,0,0001291422-13-000004
GOLDMAN SACHS GROUP INC,CORPORATE BONDS,38141GGT5,361,350000,PRN,,SOLE,,350000,0,0,0001291422-13-000004
GOOGLE INC.,COMMON STOCK,38259P508,7321,8316,SH,,SOLE,,8070,0,0,0001291422-13-000004
GOOGLE INC.,COMMON STOCK,38259P508,7321,8316,SH,,SOLE,,0,0,246,0001291422-13-000004
GOOGLE INC.,COMMON STOCK,38259P508,266,302,SH,,OTR,,302,0,0,0001291422-13-000004
GRAINGER W W INC COM,COMMON STOCK,384802104,4058,16090,SH,,SOLE,,16090,0,0,0001291422-13-000004
GREENBAY WI,MUNICIPAL OBLIG,392641WZ5,250,250000,PRN,,SOLE,,250000,0,0,0001291422-13-000004
GUARDIAN LIFE INS CO POLICY,INSURANCE POLIC,IP0000956,292,1,PRN,,SOLE,,1,0,0,0001291422-13-000004
HENDERSON NV,MUNICIPAL OBLIG,4252003D2,250,250000,PRN,,SOLE,,250000,0,0,0001291422-13-000004
HODGES,MUTUAL FUNDS -,742935224,4308,268390,SH,,SOLE,,268390,0,0,0001291422-13-000004
HODGES,MUTUAL FUNDS -,742935299,9386,595157,SH,,SOLE,,595157,0,0,0001291422-13-000004
HODGES,MUTUAL FUNDS -,742935299,267,16945,SH,,DFND,,16945,0,0,0001291422-13-000004
HOME DEPOT INC COM,COMMON STOCK,437076102,304,3925,SH,,SOLE,,3925,0,0,0001291422-13-000004
IBM CORP,COMMON STOCK,459200101,2006,10498,SH,,SOLE,,10498,0,0,0001291422-13-000004
IBM CORP,COMMON STOCK,459200101,120,630,SH,,OTR,,630,0,0,0001291422-13-000004
IBM CORP,CORPORATE BONDS,459200GU9,308,300000,PRN,,SOLE,,300000,0,0,0001291422-13-000004
ILLINOIS TOOL,COMMON STOCK,452308109,1507,21781,SH,,SOLE,,21781,0,0,0001291422-13-000004
ILLINOIS TOOL,COMMON STOCK,452308109,259,3750,SH,,OTR,,3750,0,0,0001291422-13-000004
INDIANA ST,MUNICIPAL OBLIG,4546243F2,250,250000,PRN,,SOLE,,250000,0,0,0001291422-13-000004
ING,MUTUAL FUNDS -,44981V706,3134,172370,SH,,SOLE,,172370,0,0,0001291422-13-000004
INGREDION INCORPORATED,COMMON STOCK,457187102,230,3500,SH,,SOLE,,3500,0,0,0001291422-13-000004
INTEL CORP COM,COMMON STOCK,458140100,2481,102396,SH,,SOLE,,97121,0,0,0001291422-13-000004
INTEL CORP COM,COMMON STOCK,458140100,2481,102396,SH,,SOLE,,0,0,5275,0001291422-13-000004
INTEL CORP COM,COMMON STOCK,458140100,18,745,SH,,DFND,,745,0,0,0001291422-13-000004
INTEL CORP COM,COMMON STOCK,458140100,40,1650,SH,,OTR,,1650,0,0,0001291422-13-000004
INVESCO,MUTUAL FUNDS -,00141V770,25410,1264781,SH,,SOLE,,1261103,0,0,0001291422-13-000004
INVESCO,MUTUAL FUNDS -,00141V770,25410,1264781,SH,,SOLE,,0,0,3678,0001291422-13-000004
INVESCO,MUTUAL FUNDS -,00141V770,1297,64582,SH,,OTR,,64280,0,0,0001291422-13-000004
INVESCO,MUTUAL FUNDS -,00141V770,1297,64582,SH,,OTR,,0,0,302,0001291422-13-000004
INVESCO LIMITED,COMMON STOCK,G491BT108,6680,210069,SH,,SOLE,,203529,0,0,0001291422-13-000004
INVESCO LIMITED,COMMON STOCK,G491BT108,6680,210069,SH,,SOLE,,0,0,6540,0001291422-13-000004
INVESCO LIMITED,COMMON STOCK,G491BT108,228,7175,SH,,OTR,,7175,0,0,0001291422-13-000004
IPS MULTI-SCH BLDG CORP,MUNICIPAL OBLIG,46263RKZ7,235,225000,PRN,,SOLE,,225000,0,0,0001291422-13-000004
JEFFERSON-PILOT LIFE INS CO FLEX,INSURANCE POLIC,IP0001558,261,1,PRN,,DFND,,1,0,0,0001291422-13-000004
JOHNSON & JOHNSON COM,COMMON STOCK,478160104,2243,26126,SH,,SOLE,,24581,0,0,0001291422-13-000004
JOHNSON & JOHNSON COM,COMMON STOCK,478160104,2243,26126,SH,,SOLE,,0,0,1545,0001291422-13-000004
JOHNSON & JOHNSON COM,COMMON STOCK,478160104,20,230,SH,,DFND,,230,0,0,0001291422-13-000004
JOHNSON & JOHNSON COM,COMMON STOCK,478160104,37,435,SH,,OTR,,435,0,0,0001291422-13-000004
JP MORGAN CHASE & COMPANY,COMMON STOCK,46625H100,9792,185495,SH,,SOLE,,177795,0,0,0001291422-13-000004
JP MORGAN CHASE & COMPANY,COMMON STOCK,46625H100,9792,185495,SH,,SOLE,,0,0,7700,0001291422-13-000004
JP MORGAN CHASE & COMPANY,COMMON STOCK,46625H100,411,7777,SH,,OTR,,7777,0,0,0001291422-13-000004
JP MORGAN CHASE & COMPANY,CORPORATE BONDS,46625HBV1,262,250000,PRN,,SOLE,,250000,0,0,0001291422-13-000004
KANE KENDALL ETC CNTYS IL,MUNICIPAL OBLIG,484062JK1,201,200000,PRN,,SOLE,,200000,0,0,0001291422-13-000004
KENTUCKY ST PROPERTY & BLDGS,MUNICIPAL OBLIG,49151FAW0,307,300000,PRN,,SOLE,,300000,0,0,0001291422-13-000004
LAUDUS GROWTH INVESTORS,MUTUAL FUNDS -,51855Q549,34764,2197442,SH,,SOLE,,2177513,0,0,0001291422-13-000004
LAUDUS GROWTH INVESTORS,MUTUAL FUNDS -,51855Q549,34764,2197442,SH,,SOLE,,0,0,19929,0001291422-13-000004
LAUDUS GROWTH INVESTORS,MUTUAL FUNDS -,51855Q549,2003,126617,SH,,OTR,,126009,0,0,0001291422-13-000004
LAUDUS GROWTH INVESTORS,MUTUAL FUNDS -,51855Q549,2003,126617,SH,,OTR,,0,0,608,0001291422-13-000004
LAZARD EMERGING MARKETS,MUTUAL FUNDS -,52106N764,856,46764,SH,,SOLE,,46764,0,0,0001291422-13-000004
LILLY ELI & CO,COMMON STOCK,532457108,2067,42072,SH,,SOLE,,39302,0,0,0001291422-13-000004
LILLY ELI & CO,COMMON STOCK,532457108,2067,42072,SH,,SOLE,,0,0,2770,0001291422-13-000004
LILLY ELI & CO,COMMON STOCK,532457108,20,415,SH,,DFND,,415,0,0,0001291422-13-000004
LOWES COS INC COM,COMMON STOCK,548661107,7797,190627,SH,,SOLE,,185032,0,0,0001291422-13-000004
LOWES COS INC COM,COMMON STOCK,548661107,7797,190627,SH,,SOLE,,0,0,5595,0001291422-13-000004
LOWES COS INC COM,COMMON STOCK,548661107,365,8920,SH,,OTR,,8920,0,0,0001291422-13-000004
LUCAS CNTY OH ECON DEV REVENUE,MUNICIPAL OBLIG,549306BY3,414,400000,PRN,,SOLE,,400000,0,0,0001291422-13-000004
LYONDELLBASELL INDUSTRIES NV,COMMON STOCK,N53745100,7054,106460,SH,,SOLE,,104015,0,0,0001291422-13-000004
LYONDELLBASELL INDUSTRIES NV,COMMON STOCK,N53745100,7054,106460,SH,,SOLE,,0,0,2445,0001291422-13-000004
LYONDELLBASELL INDUSTRIES NV,COMMON STOCK,N53745100,213,3215,SH,,OTR,,3215,0,0,0001291422-13-000004
M & I MARSHALL & ILSLEY,CORPORATE BONDS,55259PAE6,1057,1000000,PRN,,SOLE,,1000000,0,0,0001291422-13-000004
MARRIOTT INTL INC CL A,COMMON STOCK,571903202,3662,90717,SH,,SOLE,,86567,0,0,0001291422-13-000004
MARRIOTT INTL INC CL A,COMMON STOCK,571903202,3662,90717,SH,,SOLE,,0,0,4150,0001291422-13-000004
MARRIOTT INTL INC CL A,COMMON STOCK,571903202,192,4757,SH,,OTR,,4757,0,0,0001291422-13-000004
MATTEL INC COM,COMMON STOCK,577081102,10177,224617,SH,,SOLE,,214737,0,0,0001291422-13-000004
MATTEL INC COM,COMMON STOCK,577081102,10177,224617,SH,,SOLE,,0,0,9880,0001291422-13-000004
MATTEL INC COM,COMMON STOCK,577081102,30,665,SH,,DFND,,665,0,0,0001291422-13-000004
MATTEL INC COM,COMMON STOCK,577081102,255,5625,SH,,OTR,,5625,0,0,0001291422-13-000004
MCDONALDS CORP,COMMON STOCK,580135101,504,5094,SH,,SOLE,,5094,0,0,0001291422-13-000004
MCDONALDS CORP,COMMON STOCK,580135101,40,400,SH,,OTR,,400,0,0,0001291422-13-000004
